EntrezGeneId	geneSymbol	geneName	diseaseId	diseaseName	score	NumberOfPubmeds	associationType									
1956	EGFR	epidermal growth factor receptor	umls:C0017636	Glioblastoma	0.406265708	287	Biomarker									
1956	EGFR	epidermal growth factor receptor	umls:C0017636	Glioblastoma	0.406265708	287	GeneticVariation									
1956	EGFR	epidermal growth factor receptor	umls:C0017636	Glioblastoma	0.406265708	287	AlteredExpression									
4255	MGMT	O-6-methylguanine-DNA methyltransferase	umls:C0017636	Glioblastoma	0.345133074	95	Biomarker									
4255	MGMT	O-6-methylguanine-DNA methyltransferase	umls:C0017636	Glioblastoma	0.345133074	95	GeneticVariation									
4255	MGMT	O-6-methylguanine-DNA methyltransferase	umls:C0017636	Glioblastoma	0.345133074	95	PostTranslationalModification									
4255	MGMT	O-6-methylguanine-DNA methyltransferase	umls:C0017636	Glioblastoma	0.345133074	95	AlteredExpression									
7422	VEGFA	vascular endothelial growth factor A	umls:C0017636	Glioblastoma	0.333920617	67	Biomarker									
7422	VEGFA	vascular endothelial growth factor A	umls:C0017636	Glioblastoma	0.333920617	67	AlteredExpression									
8842	PROM1	prominin 1	umls:C0017636	Glioblastoma	0.321289404	48	Biomarker									
8842	PROM1	prominin 1	umls:C0017636	Glioblastoma	0.321289404	48	AlteredExpression									
8842	PROM1	prominin 1	umls:C0017636	Glioblastoma	0.321289404	48	PostTranslationalModification									
4318	MMP9	"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)"	umls:C0017636	Glioblastoma	0.314254114	18	Biomarker									
4318	MMP9	"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)"	umls:C0017636	Glioblastoma	0.314254114	18	AlteredExpression									
1116	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	umls:C0017636	Glioblastoma	0.310839864	14	Biomarker									
1116	CHI3L1	chitinase 3-like 1 (cartilage glycoprotein-39)	umls:C0017636	Glioblastoma	0.310839864	14	AlteredExpression									
1950	EGF	epidermal growth factor	umls:C0017636	Glioblastoma	0.310748097	37	Biomarker									
4313	MMP2	"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	umls:C0017636	Glioblastoma	0.308788298	22	Biomarker									
4313	MMP2	"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"	umls:C0017636	Glioblastoma	0.308788298	22	AlteredExpression									
3091	HIF1A	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	umls:C0017636	Glioblastoma	0.308022732	13	Biomarker									
3576	IL8	interleukin 8	umls:C0017636	Glioblastoma	0.308022732	11	Biomarker									
3576	IL8	interleukin 8	umls:C0017636	Glioblastoma	0.308022732	11	AlteredExpression									
3091	HIF1A	"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"	umls:C0017636	Glioblastoma	0.308022732	13	AlteredExpression									
5747	PTK2	protein tyrosine kinase 2	umls:C0017636	Glioblastoma	0.307127057	9	Biomarker									
5747	PTK2	protein tyrosine kinase 2	umls:C0017636	Glioblastoma	0.307127057	9	AlteredExpression									
5747	PTK2	protein tyrosine kinase 2	umls:C0017636	Glioblastoma	0.307127057	9	PostTranslationalModification									
4233	MET	met proto-oncogene	umls:C0017636	Glioblastoma	0.30669839	16	Biomarker									
8743	TNFSF10	"tumor necrosis factor (ligand) superfamily, member 10"	umls:C0017636	Glioblastoma	0.30507549	18	Therapeutic									
8743	TNFSF10	"tumor necrosis factor (ligand) superfamily, member 10"	umls:C0017636	Glioblastoma	0.30507549	18	Biomarker									
7490	WT1	Wilms tumor 1	umls:C0017636	Glioblastoma	0.303712808	5	Biomarker									
2952	GSTT1	glutathione S-transferase theta 1	umls:C0017636	Glioblastoma	0.303115691	3	Biomarker									
4609	MYC	v-myc avian myelocytomatosis viral oncogene homolog	umls:C0017636	Glioblastoma	0.303115691	4	Biomarker									
4609	MYC	v-myc avian myelocytomatosis viral oncogene homolog	umls:C0017636	Glioblastoma	0.303115691	4	AlteredExpression									
2952	GSTT1	glutathione S-transferase theta 1	umls:C0017636	Glioblastoma	0.303115691	3	GeneticVariation									
3020	H3F3A	"H3 histone, family 3A"	umls:C0017636	Glioblastoma	0.302687024	9	Biomarker									
2335	FN1	fibronectin 1	umls:C0017636	Glioblastoma	0.302089908	8	Biomarker									
4194	MDM4	Mdm4 p53 binding protein homolog (mouse)	umls:C0017636	Glioblastoma	0.302089908	8	Biomarker									
3553	IL1B	"interleukin 1, beta"	umls:C0017636	Glioblastoma	0.301492791	6	Biomarker									
648	BMI1	BMI1 polycomb ring finger oncogene	umls:C0017636	Glioblastoma	0.300597117	3	Biomarker									
2668	GDNF	glial cell derived neurotrophic factor	umls:C0017636	Glioblastoma	0.300597117	3	Biomarker									
3440	IFNA2	"interferon, alpha 2"	umls:C0017636	Glioblastoma	0.300597117	3	Therapeutic									
3558	IL2	interleukin 2	umls:C0017636	Glioblastoma	0.300597117	2	Therapeutic									
5071	PARK2	parkin RBR E3 ubiquitin protein ligase	umls:C0017636	Glioblastoma	0.300597117	2	Biomarker									
8434	RECK	reversion-inducing-cysteine-rich protein with kazal motifs	umls:C0017636	Glioblastoma	0.300597117	3	Therapeutic									
3558	IL2	interleukin 2	umls:C0017636	Glioblastoma	0.300597117	2	Biomarker									
